name,compile,link,render,fail
AdvancedMosaic,1,1,1,
angular,0,0,0,FS: 0(16) : error C1503: undefined variable "PI"
0(18) : error C1503: undefined variable "PI"
0(18) : error C1503: undefined variable "PI"

BlockDissolve,1,1,1,
BookFlip,1,1,1,
Bounce,1,1,0,rendered all-black
BowTieHorizontal,1,1,1,
BowTieVertical,1,1,1,
BowTieWithParameter,1,1,1,
Box,1,1,1,
burn0,1,1,1,
burn,1,1,1,
ButterflyWaveScrawler,1,1,1,
cannabisleaf,1,1,1,
chessboard,1,1,1,
CircleCrop,0,0,0,FS: 0(14) : error C1503: undefined variable "ratio"
0(14) : error C1059: non constant expression in initialization
0(15) : error C1059: non constant expression in initialization

circle,1,1,0,rendered all-black
circleopen,1,1,1,
colorphase,1,1,1,
ColourDistance,1,1,1,
coord-from-in,1,1,1,
CrazyParametricFun,1,1,1,
crosshatch,1,1,1,
crosswarp,1,1,1,
CrossZoom,1,1,1,
cube,1,1,1,
DefocusBlur,1,1,1,
directional-easing,1,1,1,
Directional,1,1,1,
DirectionalScaled,0,0,0,FS: 0(16) : error C1503: undefined variable "PI"
0(21) : error C1503: undefined variable "PI"

directionalwarp,1,1,1,
directionalwipe,1,1,1,
displacement,1,1,1,
dissolve,1,1,1,
DoomScreenTransition,1,1,1,
doorway,1,1,1,
Dreamy,1,1,1,
DreamyZoom,0,0,0,FS: 0(23) : error C1503: undefined variable "DEG2RAD"
0(23) : error C1503: undefined variable "DEG2RAD"
0(30) : error C1503: undefined variable "ratio"
0(35) : error C1503: undefined variable "ratio"

Drop_Zone_Flicker,1,1,1,
EdgeTransition,1,1,0,rendered all-black
fadecolor,1,1,1,
fade,1,1,1,
fadegrayscale,1,1,1,
FilmBurn,1,1,1,
flyeye,1,1,1,
Fold,1,1,1,
fragment,0,0,0,FS: 0(27) : error C1503: undefined variable "POINTS"
0(27) : error C1307: non constant expression for array size
0(28) : error C1503: undefined variable "POINTS"
0(34) : error C1503: undefined variable "POINTS"
0(44) : error C1503: undefin
GlitchDisplace,1,1,1,
GlitchMemories,1,1,1,
GridFlip,1,1,0,rendered all-black
heart,1,1,1,
hexagonalize,0,0,0,FS: 0(51) : error C1503: undefined variable "ratio"
0(67) : error C1503: undefined variable "ratio"

HorizontalClose,1,1,1,
HorizontalOpen,1,1,1,
HSVfade,1,1,1,
InvertedPageCurl,1,1,1,
kaleidoscope,1,1,1,
LeftRight,1,1,1,
LinearBlur,1,1,1,
luma,1,1,1,
luminance_melt,0,0,0,FS: 0(104) : error C1059: non constant expression in initialization

morph,1,1,1,
Mosaic,0,0,0,FS: 0(24) : error C1503: undefined variable "PI"
